Id,Degree,Eccentricity,closnesscentrality,betweenesscentrality,modularity_class
77637,1,0,0,0,592
35527,13,1,1,0,118
14148,1,0,0,0,118
29271,1,0,0,0,118
87039,1,0,0,0,118
14025,1,0,0,0,118
33205,1,0,0,0,118
54568,1,0,0,0,118
80169,1,0,0,0,118
40178,1,0,0,0,118
30908,1,0,0,0,118
54822,1,0,0,0,118
95899,1,0,0,0,118
95706,1,0,0,0,118
65840,24,3,0.83871,78,17
92970,1,0,0,0,17
68468,1,0,0,0,17
63651,1,0,0,0,17
37381,1,0,0,0,17
47702,1,0,0,0,17
78556,1,0,0,0,17
49446,1,0,0,0,17
96876,1,0,0,0,17
34947,2,2,0.666667,8,17
23838,1,0,0,0,17
2881,1,0,0,0,17
23471,1,0,0,0,17
94492,1,0,0,0,17
26777,1,0,0,0,17
99862,1,0,0,0,17
58332,1,0,0,0,17
75817,3,1,1,0,15
93524,1,0,0,0,15
20940,1,0,0,0,15
14027,1,0,0,0,15
81146,14,1,1,0,672
50411,1,0,0,0,672
30237,1,0,0,0,672
96354,1,0,0,0,672
48843,1,0,0,0,672
72735,1,0,0,0,672
37517,1,0,0,0,672
14488,1,0,0,0,672
7438,1,0,0,0,672
20016,1,0,0,0,672
62096,1,0,0,0,672
63603,1,0,0,0,672
30403,1,0,0,0,672
85519,1,0,0,0,672
57851,20,5,0.694444,0,520
63548,1,0,0,0,520
19375,1,0,0,0,520
37894,1,0,0,0,520
79998,2,0,0,0,520
32265,1,0,0,0,520
14041,1,0,0,0,520
94725,1,0,0,0,520
67859,1,0,0,0,520
4795,1,0,0,0,520
62589,1,0,0,0,520
66012,1,0,0,0,520
42119,1,0,0,0,520
27467,1,0,0,0,520
37988,1,0,0,0,520
86796,1,0,0,0,520
5248,1,0,0,0,520
97292,1,0,0,0,520
73056,2,4,0.4,4,520
40706,2,1,1,1,520
93478,14,20,0.158672,0,29
58756,1,0,0,0,29
52627,1,0,0,0,29
1927,2,1,1,1,29
4458,1,0,0,0,29
24635,1,0,0,0,29
63120,1,0,0,0,29
966,1,0,0,0,29
13815,2,19,0.123348,28,29
42745,2,0,0,0,29
74443,1,0,0,0,29
87069,1,0,0,0,29
8676,1,0,0,0,29
4769,1,0,0,0,29
50227,1,0,0,0,29
26189,18,2,0.947368,18,6
93737,1,0,0,0,6
12912,1,0,0,0,6
